,psyrats_voices_total,psyrats_hdis,psyrats_delusions_total,hpsvq_total,hpsvq_negative,dass21_total,dass21_stress,dass21_anxiety,dass21_depression,eq5d_mobility,eq5d_self_care,eq5d_usual_activities,eq5d_pain_discomfort,eq5d_anxiety_depression,eq5d_health_today_vas,qpr_total,choice_short_total,sf36_pcs,sf36_mcs
psyrats_voices_total,1,0.904185516111312,0.320315533250046,0.865616256966381,0.818873161842201,0.541736118724549,0.496234210129925,0.333246714170942,0.554307781756728,0.174408878800925,0.0983008176810023,0.198793704429728,0.051882371813774,0.425645104932179,-0.172986205468718,-0.537403764966546,0.505863837254996,-0.0101077095868467,-0.420533340294403
psyrats_hdis,0.904185516111312,1,0.263785903430472,0.796802008234242,0.784778581096971,0.526931357007667,0.474220207627047,0.312036170532181,0.563806922001489,0.149742705080714,0.0638768696834828,0.212179588018002,0.0953730344568204,0.395235192953285,-0.181518244982741,-0.56048242659792,0.460466221030052,-0.00248523309666126,-0.431616809929002
psyrats_delusions_total,0.320315533250046,0.263785903430472,1,0.391342861836493,0.341418426891853,0.314825798624028,0.253566966433053,0.257583538366177,0.339385508409167,0.0361014654911969,0.0647147204570234,0.0595963078332668,0.12635090193262,0.0457186186040728,-0.145806557104389,-0.269645740188334,0.540429055265596,-0.0589641068110158,-0.234168479892413
hpsvq_total,0.865616256966381,0.796802008234242,0.391342861836493,1,0.924407009963369,0.610876897138211,0.550581163319671,0.43217172076307,0.610913502078177,0.114514223486748,0.124950702219922,0.137772920453796,0.0138455467974837,0.393562296339632,-0.247987538759607,-0.57380489486566,0.557763860512223,0.0352453817378931,-0.500291655383306
hpsvq_negative,0.818873161842201,0.784778581096971,0.341418426891853,0.924407009963369,1,0.681614417766589,0.60303929432586,0.512554117274933,0.685385427352477,0.172504983268385,0.215442477416513,0.253662877162356,0.173062961860956,0.456734898120332,-0.356021145593856,-0.636907525984293,0.556581796746111,-0.0786737380008597,-0.57684567575477
dass21_total,0.541736118724549,0.526931357007667,0.314825798624028,0.610876897138211,0.681614417766589,1,0.917825745645669,0.831977281805943,0.896772244419139,0.211350864835504,0.30366707292002,0.449822168172019,0.275993028574805,0.585600051947371,-0.428380064067224,-0.643198930160214,0.748352871936764,-0.196525998378442,-0.667431936644464
dass21_stress,0.496234210129925,0.474220207627047,0.253566966433053,0.550581163319671,0.60303929432586,0.917825745645669,1,0.669097447468607,0.744702381885158,0.202042232839752,0.242891769416889,0.397308011979287,0.190778780739368,0.511266735966708,-0.40100771074272,-0.608439153735841,0.676923431286438,-0.151853617450747,-0.636190883608914
dass21_anxiety,0.333246714170942,0.312036170532181,0.257583538366177,0.43217172076307,0.512554117274933,0.831977281805943,0.669097447468607,1,0.633198562863845,0.192770875073691,0.333675340983521,0.393754196404088,0.349271793336664,0.415501996272385,-0.244969034371113,-0.362991960249368,0.597436117719821,-0.240329965135083,-0.433704705989572
dass21_depression,0.554307781756728,0.563806922001489,0.339385508409167,0.610913502078177,0.685385427352477,0.896772244419139,0.744702381885158,0.633198562863845,1,0.146647552524631,0.258307372694853,0.412369994885333,0.250084825329089,0.608603724550172,-0.483645543096152,-0.735475783209195,0.7394535033326,-0.162254269682493,-0.723935671871261
eq5d_mobility,0.174408878800925,0.149742705080714,0.0361014654911969,0.114514223486748,0.172504983268385,0.211350864835504,0.202042232839752,0.192770875073691,0.146647552524631,1,0.578731147015223,0.612771605430773,0.593101169539247,0.167587807144998,-0.438570493402393,-0.230467344801206,0.213272692709012,-0.664421989238656,-0.0623491231295741
eq5d_self_care,0.0983008176810023,0.0638768696834828,0.0647147204570234,0.124950702219922,0.215442477416513,0.30366707292002,0.242891769416889,0.333675340983521,0.258307372694853,0.578731147015223,1,0.697801439787678,0.54021290186124,0.318336617320897,-0.488046938372713,-0.301273213182683,0.268761072328654,-0.569464071205944,-0.0938560279892042
eq5d_usual_activities,0.198793704429728,0.212179588018002,0.0595963078332668,0.137772920453796,0.253662877162356,0.449822168172019,0.397308011979287,0.393754196404088,0.412369994885333,0.612771605430773,0.697801439787678,1,0.504370823342405,0.394405792698065,-0.525955869365586,-0.431244797671925,0.397267838787491,-0.575642516548174,-0.267896220954022
