,psyrats_voices_total,psyrats_hdis,psyrats_delusions_total,hpsvq_total,hpsvq_negative,dass21_total,dass21_stress,dass21_anxiety,dass21_depression,eq5d_mobility,eq5d_self_care,eq5d_usual_activities,eq5d_pain_discomfort,eq5d_anxiety_depression,eq5d_health_today_vas,qpr_total,choice_short_total,sf36_pcs,sf36_mcs
psyrats_voices_total,1,0.656768641683433,0.391482653729911,0.649643645531948,0.609829052734369,0.533499086769074,0.406197624085983,0.414494167447591,0.459394529694577,0.237636092132729,0.152275589627989,0.288321524741807,0.139675970691209,0.301485487744856,-0.275484981529157,-0.335990258626242,0.330509147550172,-0.243652112407812,-0.238610018377795
psyrats_hdis,0.656768641683433,1,0.269965283055027,0.483373002598889,0.649013471335814,0.472173832762415,0.349527839057081,0.328646577819425,0.437906353610771,0.212675670362176,0.100139575746703,0.152810678793691,0.181770134905215,0.224077028956248,-0.298955148777697,-0.344300634995662,0.274586604815131,-0.151456077277891,-0.354830827932465
psyrats_delusions_total,0.391482653729911,0.269965283055027,1,0.435687339939306,0.399016817300962,0.320203550914046,0.278117660317593,0.186139882247787,0.295288227668153,0.0680369813287458,0.183862578524396,0.176697966675289,0.00933933956406109,0.173670219430727,-0.332156312981651,-0.211116006494098,0.375585148523192,-0.107075058502839,-0.192943987946804
hpsvq_total,0.649643645531948,0.483373002598889,0.435687339939306,1,0.88737455608721,0.609074194708712,0.571980709272564,0.481593185231607,0.465783328111708,0.182347996006074,0.144523207896754,0.199181159734142,0.113043459138176,0.299105429462111,-0.165791440068109,-0.315432082492182,0.353310431978043,-0.110455709290469,-0.273355816507728
hpsvq_negative,0.609829052734369,0.649013471335814,0.399016817300962,0.88737455608721,1,0.53636969383162,0.496437220522659,0.386379903215583,0.431566403593862,0.248315813720192,0.166609838078659,0.214471535993853,0.146426034953976,0.292514486320105,-0.175782242796648,-0.324121170709936,0.360698688330823,-0.129827064676359,-0.299948418529242
dass21_total,0.533499086769074,0.472173832762415,0.320203550914046,0.609074194708712,0.53636969383162,1,0.794167356677118,0.773117060249674,0.83719518255882,0.233015952668533,0.187564011912435,0.202707589246457,0.260432038542699,0.329788581297291,-0.294294319439994,-0.518717434202383,0.56025228471856,-0.317046201961142,-0.434948005592714
dass21_stress,0.406197624085983,0.349527839057081,0.278117660317593,0.571980709272564,0.496437220522659,0.794167356677118,1,0.460035176201554,0.542442999846799,0.0933470560776427,0.0743749841667992,0.188856307251468,0.183381042181393,0.245148156370454,-0.178395135693046,-0.365566261647031,0.453731637498686,-0.166488411867832,-0.28478042345911
dass21_anxiety,0.414494167447591,0.328646577819425,0.186139882247787,0.481593185231607,0.386379903215583,0.773117060249674,0.460035176201554,1,0.455947788440359,0.264530888760195,0.24164995223206,0.0585755905864173,0.25288881375991,0.184684361108374,-0.164975017214932,-0.270603751275469,0.337539349991865,-0.34382856884162,-0.20499258129145
dass21_depression,0.459394529694577,0.437906353610771,0.295288227668153,0.465783328111708,0.431566403593862,0.83719518255882,0.542442999846799,0.455947788440359,1,0.142083664891705,0.118692830478605,0.262708030479717,0.136244415471048,0.354115001069885,-0.352402790884628,-0.588425900019822,0.561248307772769,-0.218541581569214,-0.546399308614654
eq5d_mobility,0.237636092132729,0.212675670362176,0.0680369813287458,0.182347996006074,0.248315813720192,0.233015952668533,0.0933470560776427,0.264530888760195,0.142083664891705,1,0.474144576057221,0.354364340254467,0.614631390818552,0.131591008962227,-0.292186189128899,-0.200353273998219,0.10989797817798,-0.609677653187836,0.0898437433463315
eq5d_self_care,0.152275589627989,0.100139575746703,0.183862578524396,0.144523207896754,0.166609838078659,0.187564011912435,0.0743749841667992,0.24164995223206,0.118692830478605,0.474144576057221,1,0.437650102292675,0.429462306258666,0.164950696199953,-0.217411034958813,-0.227497924198751,0.103356466145461,-0.490329184035398,0.0626935026693981
eq5d_usual_activities,0.288321524741807,0.152810678793691,0.176697966675289,0.199181159734142,0.214471535993853,0.202707589246457,0.188856307251468,0.0585755905864173,0.262708030479717,0.354364340254467,0.437650102292675,1,0.417181747910474,0.486812484343999,-0.398930847281673,-0.396791546347678,0.227688388677187,-0.388691554363689,-0.209151515171507
eq5d_pain_discomfort,0.139675970691209,0.181770134905215,0.00933933956406109,0.113043459138176,0.146426034953976,0.260432038542699,0.183381042181393,0.25288881375991,0.136244415471048,0.614631390818552,0.429462306258666,0.417181747910474,1,0.353606983952667,-0.346793003572827,-0.194774386068593,0.0964948453384539,-0.711011492694116,0.0581243357900151
eq5d_anxiety_depression,0.301485487744856,0.224077028956248,0.173670219430727,0.299105429462111,0.292514486320105,0.329788581297291,0.245148156370454,0.184684361108374,0.354115001069885,0.131591008962227,0.164950696199953,0.486812484343999,0.353606983952667,1,-0.425682464456343,-0.364006841333426,0.363021869515029,-0.17156338072657,-0.471644393093834
