,Estimate,CI95_lower,CI95_upper,Description
σr,0.7481,0.5263,0.8785,SD of per-indivudal random effect
σe,0.8103,0.7084,0.9074,SD of residuals
β0,2.168,1.16,3.177,Overall mean
βa2,-0.04973,-0.4217,0.312,Fixed effect for 8-week time point
βa3,-0.2207,-0.5927,0.1402,Fixed effect for 12-week time point
β(site),-0.1887,-0.6279,0.2498,Fixed effect for site 2 vs site 1
β(age),0.007932,-0.013,0.02881,Fixed effect for age
β(sex_M),-0.05087,-0.4701,0.3671,Fixed effect for sex M vs F
β(mod_total),0.3627,0.1162,0.6095,Fixed effect for number of hallucinatory modalities, excluding sensed presence
β(base_dur),0.0002821,-0.001695,0.002253,Fixed effect for baseline duration of symptoms
β(time_eng),0.002774,-0.01815,0.02373,Fixed effect for length of time engaged in service
β(delusions),0.01492,-0.01706,0.047,Fixed effect for PSYRATs total delusion score at baseline
β2,-0.02553,-0.5029,0.462,Fixed effect for treatment at 8-week time point
β3,0.3052,-0.1752,0.7944,Fixed effect for treatment at 12-week time point
