,Estimate,CI95_lower,CI95_upper,Description
σr,5.482,4.139,6.307,SD of per-indivudal random effect
σe,4.571,4.005,5.105,SD of residuals
β0,13.53,6.649,20.38,Overall mean
βa2,-3.343,-5.417,-1.248,Fixed effect for 8-week time point
βa3,-5.128,-7.209,-3.046,Fixed effect for 12-week time point
β(site),1.052,-1.943,4.056,Fixed effect for site 2 vs site 1
β(age),0.04419,-0.09859,0.1873,Fixed effect for age
β(sex_M),-3.005,-5.848,-0.1625,Fixed effect for sex M vs F
β(mod_total),1.917,0.239,3.593,Fixed effect for number of hallucinatory modalities, excluding sensed presence
β(base_dur),0.002011,-0.01132,0.01533,Fixed effect for baseline duration of symptoms
β(time_eng),0.06843,-0.07531,0.2122,Fixed effect for length of time engaged in service
β(delusions),0.3158,0.09751,0.5348,Fixed effect for PSYRATs total delusion score at baseline
β2,0.4385,-2.357,3.221,Fixed effect for treatment at 8-week time point
β3,-0.3345,-3.12,2.451,Fixed effect for treatment at 12-week time point
