,Estimate,CI95_lower,CI95_upper,Description
σr,12.61,9.987,14.25,SD of per-indivudal random effect
σe,5.706,4.969,6.403,SD of residuals
β0,64.03,49.44,78.65,Overall mean
βa2,-0.6296,-3.445,2.187,Fixed effect for 8-week time point
βa3,0.2901,-2.487,3.07,Fixed effect for 12-week time point
β(site),-0.4426,-6.909,6.027,Fixed effect for site 2 vs site 1
β(age),-0.6508,-0.9542,-0.3475,Fixed effect for age
β(sex_M),7.032,0.9656,13.1,Fixed effect for sex M vs F
β(mod_total),-1.985,-5.562,1.594,Fixed effect for number of hallucinatory modalities, excluding sensed presence
β(base_dur),0.005545,-0.02212,0.03318,Fixed effect for baseline duration of symptoms
β(time_eng),-0.3064,-0.6131,0.0001564,Fixed effect for length of time engaged in service
β(delusions),-0.2203,-0.6864,0.2446,Fixed effect for PSYRATs total delusion score at baseline
β2,1.527,-2.341,5.419,Fixed effect for treatment at 8-week time point
β3,0.8512,-3.003,4.696,Fixed effect for treatment at 12-week time point
